time,dx,dy,dz
1728456112727,0.0008735659517758184,-0.001024321417988424,-0.0008357116548418313
1728456112855,0.0005345366234064539,-0.0008044469555874383,-2.368462602473262e-05
1728456112890,0.00021783223757312122,-0.0005775476128558373,0.00071349974196537
1728456113018,-6.40983588446723e-05,-0.0003428960748223193,0.0013239885602859467
1728456113058,-0.00031288294059165193,-0.0001099795783428734,0.0017923725019431008
1728456113176,-0.000541252862190143,0.00010238656844652778,0.0021401762701677013
1728456113215,-0.0007639001739274792,0.00027074540330119585,0.0024128237537268476
1728456113341,-0.0009865920033963953,0.0003735539187729546,0.00265838935255459
1728456113382,-0.0011990887443178654,0.00039775545738302074,0.002907099190522056
1728456113492,-0.0013759311988599632,0.0003443415274897382,0.0031608857983491958
1728456113532,-0.0014856358480319156,0.0002322730765491459,0.0033983941537709837
1728456113659,-0.001504768755312204,9.950286415171698e-05,0.0035935034806112176
1728456113694,-0.001430586052355295,-1.0808874472243953e-06,0.0037377753935800328
1728456113819,-0.001285853395202943,-1.2720448660973267e-05,0.0038535016324492623
1728456113857,-0.0011125080514322446,0.0001075956504718481,0.0039872975225918
1728456113976,-0.0009560405462769655,0.00036966023676516255,0.004184356302587263
1728456114017,-0.0008475074557637559,0.0007375071101303924,0.004456075513264136
1728456114093,-0.0007920162455393049,0.00113305855339461,0.0047608783410154985
1728456114095,-0.0007695483812571628,0.0014591788305695185,0.005012878053641523
1728456114173,-0.0007472421465679321,0.001634310001185599,0.005116492340723002
1728456114254,-0.0006958650750314103,0.0016219980686693642,0.005007979803437392
1728456114336,-0.0006015337532202482,0.001439820312157518,0.004680282980676712
1728456114416,-0.0004677516225840001,0.001144203336593155,0.004179173408740809
1728456114495,-0.00030923401446114677,0.0008018823003583406,0.0035770003321907054
1728456114577,-0.00014317936258594044,0.00046486516140908875,0.0029416965955918637
1728456114656,1.656804500994474e-05,0.00016039591468082107,0.002317020227585747
1728456114737,0.00016041824099807003,-0.00010394606841643052,0.001719673661013314
1728456114818,0.0002806520269057004,-0.00032864735106209487,0.0011486396357546242
1728456114899,0.0003691159454553953,-0.0005139995232033701,0.0005976796323380917
1728456114979,0.00041753349688934997,-0.0006596604427362749,6.386580924150699e-05
1728456115059,0.00042064296832942314,-0.0007695590668176895,-0.00045008202717628393
1728456115139,0.0003801997130304599,-0.0008559492717736272,-0.000937807078136693
1728456115221,0.0003071143102520891,-0.0009377089579908022,-0.0013924669284487228
1728456115302,0.00021991283102067516,-0.0010325398958649025,-0.0018087888536389258
1728456115381,0.00013966048283421329,-0.0011471569491201732,-0.002183559898526808
1728456115460,8.339106126839276e-05,-0.0012711779358911227,-0.0025153108332748855
1728456115543,5.893043800655516e-05,-0.001378589159910274,-0.0028041369535053073
1728456115622,6.334271825592136e-05,-0.001436672927134268,-0.0030519887251583494
1728456115705,8.54175991951602e-05,-0.0014184400436352807,-0.003263001940653033
1728456115784,0.00011067267695366608,-0.0013129570310457046,-0.003443139009208377
1728456115864,0.00012635234751314723,-0.0011292334724990558,-0.0035988053104939193
1728456115945,0.00012433671336933144,-0.0008926312696278299,-0.003734879065037871
1728456116025,0.00010131616314488084,-0.0006361586071301682,-0.003853152217671029
1728456116106,5.708688216846119e-05,-0.0003908031685132032,-0.003952091722242837
1728456116186,-7.458617633218894e-06,-0.00017866175303245152,-0.0040281333584302826
1728456116268,-9.138282788800488e-05,-1.0679664604028922e-05,-0.004077866133810489
1728456116347,-0.00019349880924922117,0.00011144325252811591,-0.0040999892238529
1728456116428,-0.00031155175120096685,0.00019114906969715394,-0.004096093412830297
1728456116510,-0.00044178202575846436,0.00023306793145246285,-0.004069999165919284
1728456116589,-0.0005794894701981717,0.0002409606421458925,-0.004026149573160809
1728456116671,-0.0007204131695283184,0.00021816955560845702,-0.003967959723411684
1728456116751,-0.000862043830682627,0.00016996823745942858,-0.003896871783896934
1728456116832,-0.0010038679921089172,0.00010626905467921136,-0.0038123502495578596
1728456116913,-0.0011461314467613119,4.282754192260639e-05,-0.0037125812187486485
1728456116994,-0.0012876687393073496,-4.2650710300506864e-07,-0.0035954630040058513
1728456117072,-0.0014240480538426548,-4.070910790455109e-06,-0.0034594948559375895
1728456117152,-0.0015472195597520902,4.450781631420969e-05,-0.0033041762572230855
1728456117234,-0.0016470297912081948,0.00014572882319378508,-0.003129583274198687
1728456117315,-0.0017138967664224033,0.00028597163484452226,-0.002935164766381075
1728456117392,-0.0017412846571622763,0.0004406768608680524,-0.002718452823597819
1728456117477,-0.0017267227059066612,0.0005816655973897815,-0.002474746547702056
1728456117555,-0.0016708834528123696,0.0006859074326546792,-0.0021984074378375387
1728456117634,-0.0015752517278053249,0.0007421544143238493,-0.00188537033862285
1728456117718,-0.0014396628388303337,0.0007528428653187678,-0.0015355691181834783
1728456117797,-0.0012610980841044294,0.0007309854777029022,-0.001153912459674725
1728456117878,-0.0010345443388827447,0.0006941365738623839,-0.0007493010981513091
1728456117958,-0.0007557167354269357,0.0006585621973768059,-0.0003322613966480876
1728456118039,-0.00042448796157338,0.0006359509969677626,8.77336287410396e-05
1728456118120,-4.746658917746807e-05,0.0006330073103696919,0.000504392752955697
1728456118200,0.00036144455017949896,0.0006524566018582253,0.0009157198780828847
1728456118281,0.0007827283109375778,0.0006935409276282278,0.001323865377497751
1728456118360,0.0011944262546082587,0.0007511791313602185,0.0017336286162376975
1728456118442,0.0015755712063099815,0.0008147235939625209,0.002149877096316804
1728456118520,0.001908781087816106,0.0008683127500855289,0.002574651682447612
1728456118602,0.002181483503523157,0.0008942999290978908,0.0030050405574334853
