time,dx,dy,dz
1725366378687,0.0008355447968613881,7.13402663106078e-06,0.00884494974472922
1725366378808,0.0008987523400784072,8.572855727554798e-05,0.0068932624035182195
1725366378853,0.0009463887500631399,0.00013478800157695436,0.004994406361965046
1725366378969,0.0009724988720198372,0.0001304329654744682,0.0031836457317197158
1725366379013,0.000984589099271783,6.076205648522255e-05,0.0014736463481110347
1725366379131,0.0009995686910198962,-6.963805424008723e-05,-0.00013828721355078612
1725366379176,0.0010337041418590548,-0.00023889106718801435,-0.0016544653501312948
1725366379293,0.0010918740341622102,-0.0004126538035800915,-0.003061882909934587
1725366379338,0.001161839552917157,-0.0005544429275781895,-0.004326941367927027
1725366379453,0.0012166938196455932,-0.0006384171312184297,-0.0054030658719873784
1725366379495,0.0012245694106383903,-0.0006594889796004937,-0.006247087252930561
1725366379613,0.0011612121184588395,-0.0006359108388649203,-0.0068354550993888485
1725366379658,0.0010198438575168554,-0.0006023539284774939,-0.0071718699076753515
1725366379774,0.000814232991790434,-0.000595747810356949,-0.007283242680652196
1725366379818,0.0005741214237843413,-0.0006396537859595492,-0.007207524899732971
1725366379936,0.0003354575297756194,-0.0007338567676934052,-0.0069807989530368255
1725366379977,0.0001297464289028897,-0.0008536408386109496,-0.006630130775491324
1725366380098,-2.3407499447785627e-05,-0.000958954462140854,-0.006174367694582423
1725366380144,-0.00011844624442109187,-0.00100945845794272,-0.005630528976689542
1725366380258,-0.00016113187359266635,-0.0009792128110211078,-0.005021234285357629
1725366380305,-0.00016330921681987514,-0.000865309280523092,-0.004379025806260074
1725366380418,-0.00013802232061226123,-0.0006875498986141766,-0.0037451078767868134
1725366380460,-9.693025530902675e-05,-0.0004798943459591603,-0.0031618690995848762
1725366380580,-5.0300620232017244e-05,-0.00027736557097998563,-0.0026607049578857346
1725366380626,-8.38650668195157e-06,-0.00010344875820112488,-0.0022494660810166746
1725366380742,1.7584850579336673e-05,3.752352429926093e-05,-0.00190614513496873
1725366380783,1.6127144882865877e-05,0.00016060846639288296,-0.001584527504231584
1725366380902,-2.188242545563025e-05,0.00029357693387332647,-0.0012320345578020714
1725366380944,-9.964095143272404e-05,0.0004662874337967362,-0.000812382753591192
1725366381063,-0.00021159285987413628,0.000700209179992565,-0.0003213661332835247
1725366381109,-0.00034294828637450504,0.0010015978879150437,0.00021311459470890114
1725366381224,-0.0004723057906532497,0.0013599742848243513,0.0007468996408463654
1725366381271,-0.0005768197063996846,0.0017514350145670613,0.0012422420150600504
1725366381385,-0.0006381437207391497,0.002144866557819903,0.0016845328029057058
1725366381428,-0.0006468863625373165,0.0025087582416346865,0.0020843169295256306
1725366381546,-0.0006038544915519102,0.002816846668675249,0.0024648629605414853
1725366381589,-0.0005177716154290609,0.003051726506303895,0.0028438076839558736
1725366381707,-0.0004007977707601333,0.0032062924306031936,0.003219881817809112
1725366381754,-0.0002642037003982062,0.003283205303040881,0.0035714973120250424
1725366381868,-0.00011635731788531976,0.00329263988210574,0.003866530905953159
1725366381912,3.621617146370511e-05,0.0032486716864139438,0.004077044123999394
1725366382029,0.00018580207145515827,0.003164968166145715,0.004191707860403268
1725366382076,0.0003208264923830216,0.003050848702713986,0.0042212195363386254
1725366382190,0.0004257109835317483,0.0029089559780296538,0.004195129566042634
1725366382236,0.0004839273463021489,0.0027354739272556264,0.004150899716606821
1725366382351,0.0004830377108773329,0.002523018123575456,0.004118364885800577
1725366382395,0.00041931346714887095,0.0022652760248722753,0.0041053033090502474
1725366382514,0.0002996552572088765,0.00196162815128051,0.004090888574361733
1725366382557,0.0001398373164473509,0.0016197759448943274,0.004031393242244982
1725366382674,-4.016687119295785e-05,0.0012550535916315058,0.0038767924463751877
1725366382722,-0.00022174210196898513,0.0008864338677419257,0.0035908652200877483
1725366382834,-0.00039178884513393344,0.0005306985107158827,0.0031650699545698563
1725366382876,-0.0005439966179669542,0.00019713983276375548,0.002620066206597519
1725366382995,-0.0006771358624306073,-0.00011497671506049967,0.0019962680599721764
1725366383039,-0.0007916031278852427,-0.00041510269599390025,0.0013406694595048134
1725366383157,-0.0008861750705933972,-0.0007167844414627552,0.0006968076660475729
