time,w,x,y,z
1725366378687,0.9997139689411654,-0.023310007072717232,-0.0034030682046443895,0.004128316965449062
1725366378808,0.9996555471535316,-0.02573276775940622,-0.0030097379765020127,0.004189652244167755
1725366378853,0.9996130509066505,-0.027068144440435173,-0.004653301499740973,0.004405768809450616
1725366378969,0.9996258591999713,-0.02612556530738942,-0.006738516689692648,0.00449320029727044
1725366379013,0.9996175097620077,-0.02700389238656568,-0.0037830811657674026,0.0046165214253305244
1725366379131,0.9996699254309183,-0.02485622988133846,-0.004557075060226725,0.004630452669411991
1725366379176,0.9996178395168592,-0.02709208674809349,-0.002799847855145126,0.004728065911989624
1725366379293,0.9995903677144213,-0.028217314938259144,-0.00037264321853746593,0.0047687574119997835
1725366379338,0.9996398219587127,-0.026309714068399465,-0.0026136811932485973,0.004603690977045178
1725366379453,0.9996758542383853,-0.02457125079571271,-0.005131383316593202,0.004255466172707431
1725366379495,0.9996752894502409,-0.025009764705103344,-0.0029934351059638605,0.003855733164882685
1725366379613,0.9996722302169563,-0.025352848612398088,-0.0007180542822049623,0.0034856273956803637
1725366379658,0.9997281353545496,-0.022981875466647005,-0.002501459398234042,0.0030383353057057715
1725366379774,0.9996874084433953,-0.0248342797907031,-0.0006762316573068377,0.0028083193819031264
1725366379818,0.9997158382914964,-0.02353533158606022,-0.0027479150135808926,0.0026038047820406934
1725366379936,0.9996605541752043,-0.02561877149930864,-0.004040668334671484,0.002475474176596845
1725366379977,0.9996755896166717,-0.02533132530847413,-0.0008914483915328777,0.002498960272059321
1725366380098,0.9996300216600992,-0.026931581434937887,-0.0027804380917133735,0.0026036284798401617
1725366380144,0.9997004168253292,-0.023981999475733113,-0.003920483017054519,0.002927475588620169
1725366380258,0.9997517300708425,-0.021991526905272247,-0.001774996195326599,0.0031145390089676998
1725366380305,0.9997040326533921,-0.02403715695416941,-0.0022017738860255352,0.0030355187136806194
1725366380418,0.9996404626429992,-0.02655097607879389,-0.002158115749157824,0.0030551027097824074
1725366380460,0.9996892629560347,-0.024483402225352734,-0.003496970352643721,0.0031163671550036597
1725366380580,0.9996225358552604,-0.027122566774846694,-0.0028792748712980986,0.0032957484822150867
1725366380626,0.9996897500505129,-0.024528506986231366,-0.002539203205629516,0.0035083380751910593
1725366380742,0.9996395597979235,-0.02657682030799343,-0.0010886417581398868,0.003638401909174393
1725366380783,0.9997092500869077,-0.02378133330163904,-0.0017313978005728636,0.0035868842642778364
1725366380902,0.9996575502621423,-0.02590613480470026,-0.0006552712863194012,0.0036366197099484488
1725366380944,0.9997031965256604,-0.02392447717777428,-0.002793863286911477,0.0036513800242043673
1725366381063,0.9996447130944696,-0.026325483744435406,-0.0018199815482269363,0.0037555499013353106
1725366381109,0.9996926949315207,-0.024288768129731624,-0.0031901555876645915,0.003793988748012837
1725366381224,0.9997469270460005,-0.022080925212627073,-0.002348763762558993,0.0036052617964410483
1725366381271,0.9996846850840341,-0.02472132600994317,-0.0031133658531369342,0.003113422844780926
1725366381385,0.9997072499065903,-0.02402609356166432,-0.00048446048832249483,0.0028154236632049095
1725366381428,0.9996710497368138,-0.02540181935602911,-0.002480289633326779,0.0025274601550565744
1725366381546,0.9995952334798884,-0.028274306644785037,-0.0022299778837801968,0.00222710275516292
1725366381589,0.9996581237850828,-0.026016297254169346,-0.0018363846117020707,0.0018481123420160245
1725366381707,0.9996892947386061,-0.024872141117939676,0.0006101056642389696,0.001522613646325217
1725366381754,0.9996538347526941,-0.026254587586332506,-0.00131372404334846,0.0010869333204066257
1725366381868,0.9996257896668242,-0.02707388488928616,-0.003828888243847287,0.0007905724480968094
1725366381912,0.9995849972406277,-0.028762136695582564,-0.0013998108666898254,0.0007831434712089789
1725366382029,0.9995839691305012,-0.02852995051873714,-0.004189239569845024,0.0006171325126536419
1725366382076,0.9996492911431325,-0.026370693264284137,-0.0023583903408688402,0.0005650210560229587
1725366382190,0.999586345825383,-0.02870532728763718,-0.0017290136775483427,0.0003897902896546199
1725366382236,0.999640601250093,-0.026611072764240726,-0.003242995040201209,4.606362824394132e-05
1725366382351,0.9996469445352758,-0.025840590008482753,-0.006184542035497283,-4.036225857051145e-05
1725366382395,0.9996127305832758,-0.02738540161224614,-0.004934233755560146,0.0002863068792220785
1725366382514,0.9995382908456585,-0.030082803628079455,-0.0042484907959234085,0.00042471775456319
1725366382557,0.9995978465541935,-0.028011891424023144,-0.004400733710819545,0.00033562758250881355
1725366382674,0.9995166382641518,-0.03078880656775667,-0.004299094372992935,0.00023876941615225063
1725366382722,0.9996018033634375,-0.027877933869205104,-0.004364600151833877,7.603461512462788e-05
1725366382834,0.9996707076553539,-0.025471494416112288,-0.003109364740892754,-0.000105256648844975
1725366382876,0.9995985357656839,-0.02812493928892534,-0.0034089740686348248,-0.0003660340073239554
1725366382995,0.999526876477414,-0.030626489629870416,-0.002804050778464903,-0.0004226481843258989
1725366383039,0.9995923591287914,-0.028250809155819654,-0.004107041014950359,-0.0003735873129115095
1725366383157,0.9995995964371783,-0.027532184510173276,-0.006517908059095937,-0.0003774827962122475
1725366383201,0.9995786697273467,-0.028741472869244507,-0.004042242087629249,-0.0002665376514093083
1725366383318,0.999598745057206,-0.02829291695581678,-0.0013496525668115623,-0.00019536667850955492
1725366383361,0.9995622808182824,-0.0293766850045305,-0.003488125981258666,-0.0003002009933832574
1725366383479,0.9995721580427196,-0.029237685102517254,-0.0007970536937992165,-0.00015277786409878161
1725366383527,0.9995943876565938,-0.028286806048009275,-0.0033037885036269993,-4.183975230934856e-05
